problem,law,section,solution,solution_based_on_law,risk_category,applicable_conditions,expected_answer
"I received a message from someone pretending to be a bank official, and after following their instructions, Rs. 5,20,000 was deducted from my account. I have a few messages as proof but nothing else.","Information Technology Act, 2000 and Applicable law cannot be determined from the facts provided",Section 66D; Not applicable until further facts are known,"Contact your bank immediately to block further transactions and request a chargeback where possible, preserve the messages/call records and transaction details, and file a complaint on the National Cyber Crime Reporting Portal or the 1930 helpline.","Cheating a person by pretending to be someone else (such as a bank official) using electronic communication in order to induce them to part with money is an offence, and the exact provisions applicable also depend on how the deception and transaction occurred.",Cybercrime,"The exact offence and applicable sections depend on details such as how the OTP or information was obtained, the payment method used, and whether any malware or phishing link was involved, so these facts are needed for a precise answer.","This likely involves the Information Technology Act, 2000 (Section 66D), since you were deceived through electronic communication into losing money. Contact your bank immediately, note down the caller's number and messages, and report the incident at cybercrime.gov.in or call 1930. The exact combination of sections will depend on further facts about how the fraud was carried out."
"I hired someone for insurance claim processing and paid Rs. 15,000 upfront, but they never showed up to finish the job. I don't want to go to court if it can be avoided.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I paid a wife Rs. 33,500 in advance for interior design work, but the work was left incomplete and they stopped responding.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I ordered a power bank from an online marketplace, but received a completely different item, and the platform is delaying my refund. I have all the receipts and messages saved.","Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
"I paid a tenant Rs. 60,000 in advance for interior design work, but the work was left incomplete and they stopped responding. My family is asking me to just let it go, but I don't want to.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"My tenant agreed in writing to deliver certain work by a deadline for Rs. 25,000, but has not completed it even after three months back.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I bought a car battery for Rs. 1,10,000 and it stopped working within a week, but the shop is refusing to replace it or give a refund. I'm worried this might happen again.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
Someone stole my mattress from my house in Ahmedabad while I was away. I've never dealt with anything like this before.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
I was suddenly terminated from my job in Chennai without any notice or compensation. This happened for the first time recently.,"Industrial Disputes Act, 1947",Section 25F,"Send a written representation to the employer citing the requirement of notice and retrenchment compensation, and if unresolved, raise an industrial dispute before the Labour Commissioner or appropriate Labour Court.","An employer retrenching a workman who has been in continuous service for a specified period is generally required to give notice (or pay in lieu) and retrenchment compensation, subject to conditions under the Act.",Employment,"Details of length of service, the nature of employment (workman status), and whether any notice or compensation was given are needed to determine applicability.","This concerns Industrial Disputes Act, 1947 (Section 25F), which requires notice and compensation before retrenchment for qualifying employees. Send a written representation to your employer, and if unresolved, you can raise the matter before the Labour Commissioner or Labour Court. Keep your appointment letter, service records, and termination communication safe."
"I hired someone for wedding photography and paid Rs. 60,000 upfront, but they never showed up to finish the job. I don't want to go to court if it can be avoided.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
Someone stole my mobile phone from my house in Kolkata while I was away.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
An online seller advertised a printer at one price but charged me a higher amount at checkout without explanation. I don't want to go to court if it can be avoided.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"I was dishonestly induced to hand over Rs. 60,000 based on false promises that were never fulfilled. Please tell me what I can legally do.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"I lent Rs. 7,750 to a business partner on a verbal promise of repayment, and they are now refusing to return it. I don't want to go to court if it can be avoided.","Indian Contract Act, 1872 and Applicable law cannot be determined from the facts provided",Section 73; Not applicable until further facts are known,"Send a written demand for repayment referencing whatever proof exists (messages, bank transfer records, witnesses), and if unresolved, consider filing a civil recovery suit; if there was clear dishonest intent from the start, a criminal complaint for cheating may also be considered.","A verbal agreement to repay money can still be enforceable as a contract if its existence and terms can be proved, and non-repayment can be treated as a breach entitling the lender to claim the amount along with any provable loss.",Civil dispute,"Since there is no written agreement, evidence such as bank transfer records, messages acknowledging the loan, or witnesses is crucial; whether this is a purely civil dispute or also involves an element of cheating depends on the other party's intent at the time the money was taken.","This is primarily a civil recovery matter under the Indian Contract Act, 1872 (Section 73), since even a verbal loan agreement can be enforced if proven. Gather any bank transfer records, messages, or witnesses, send a written repayment demand, and consider a civil recovery suit if unresolved. If there is evidence the other party never intended to repay from the start, a criminal cheating complaint may also be worth exploring — please share more details on that intent if relevant."
"A vehicle hit me and sped away without stopping in Ahmedabad, and I don't know who was driving. I've never dealt with anything like this before.","Motor Vehicles Act, 1988",Section 161,"File a police complaint immediately (needed to access the hit-and-run compensation scheme), obtain medical records, and apply for compensation from the Solatium Fund/relevant scheme through the police or insurer.","Where the vehicle or driver responsible for an accident cannot be traced, a victim or their legal heirs can still claim compensation from a dedicated compensation fund, subject to filing the required police report and documents.",Traffic,"A prompt FIR, medical treatment records, and any witness information about the vehicle are needed to process the claim.","This falls under Motor Vehicles Act, 1988 (Section 161), which provides for compensation even when the vehicle cannot be traced. File a police complaint immediately, get medical treatment documented, and apply for compensation from the applicable compensation fund with police assistance."
An e-commerce seller cancelled my order for a refrigerator after taking payment and is not processing the refund even after recently. I live alone and don't have much support right now.,"Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 and Consumer Protection Act, 2019","Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020; Section 2(11) read with Section 35","Raise the issue through the platform's grievance mechanism first, and if unresolved within the stipulated time, escalate the complaint to the Consumer Commission or the National Consumer Helpline.","E-commerce entities are required to acknowledge and address consumer grievances within specified timelines, and failure to do so, along with taking payment without delivering the promised goods, amounts to a deficiency for which redress is available.",Consumer,"Proof of the order, payment confirmation, and any communication with the platform's customer support are needed to establish the timeline and the deficiency.","This is governed by the Consumer Protection Act, 2019 and Consumer Protection (E-Commerce) Rules, 2020 (Section 94 (Central Consumer Protection Authority) read with the E-Commerce Rules, 2020). Raise a grievance with the platform first; if unresolved, you can approach the Consumer Commission or the National Consumer Helpline (1915) for a refund or compensation. Preserve your order and payment records."
I was suddenly terminated from my job in Nagpur without any notice or compensation. I live alone and don't have much support right now.,"Industrial Disputes Act, 1947",Section 25F,"Send a written representation to the employer citing the requirement of notice and retrenchment compensation, and if unresolved, raise an industrial dispute before the Labour Commissioner or appropriate Labour Court.","An employer retrenching a workman who has been in continuous service for a specified period is generally required to give notice (or pay in lieu) and retrenchment compensation, subject to conditions under the Act.",Employment,"Details of length of service, the nature of employment (workman status), and whether any notice or compensation was given are needed to determine applicability.","This concerns Industrial Disputes Act, 1947 (Section 25F), which requires notice and compensation before retrenchment for qualifying employees. Send a written representation to your employer, and if unresolved, you can raise the matter before the Labour Commissioner or Labour Court. Keep your appointment letter, service records, and termination communication safe."
A shop in Surat charged me more than the printed MRP for a ceiling fan and refused to give a proper bill. I want to know my rights in this situation.,"Consumer Protection Act, 2019",Section 2(47) read with Section 2(6); Section 2(6) and Section 35,"Collect the bill or screenshots showing the price difference or false claim, and file a complaint with the Consumer Commission or the Central Consumer Protection Authority against the unfair trade practice.","Charging above the displayed or fixed price, or making false claims about goods, falls within the Act's definition of unfair trade practice, for which a consumer can seek redress.",Consumer,"The overcharging or false representation must be demonstrable through bills, advertisements, or screenshots, and the complainant must have actually purchased or agreed to purchase the goods or services.","This is covered under the Consumer Protection Act, 2019 (Section 2(47) read with Section 2(6)), which addresses unfair trade practices such as overcharging or false claims. Keep the bill and any advertisement as evidence, and you may file a complaint with the Consumer Commission or the Central Consumer Protection Authority."
"I was dishonestly induced to hand over Rs. 25,000 based on false promises that were never fulfilled. I'm worried this might happen again.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
"I paid a tenant Rs. 60,000 in advance for courier delivery, but the work was left incomplete and they stopped responding. I already tried contacting them but got no response.","Indian Contract Act, 1872",Section 73,"Send a formal written notice referring to the agreed terms and demanding either completion of the work or a refund with compensation for loss caused by the delay, and pursue a civil claim if the notice is ignored.","Where one party fails to perform an agreed obligation, the other party who suffers loss as a natural consequence of that breach is entitled to claim compensation, provided the loss is capable of being reasonably established.",Contract,"There must be a valid, enforceable contract (written or oral, with clear terms), a demonstrable breach, and a quantifiable loss flowing from that breach.","This is a breach of contract matter under the Indian Contract Act, 1872 (Section 73). Since the other party failed to perform as agreed, you can send a written notice demanding completion or refund, and claim compensation for the loss caused. If unresolved, this can be pursued as a civil claim. Keep the agreement, payment proof, and communication as evidence."
"I bought a laptop for Rs. 25,000 and it stopped working within a week, but the shop is refusing to replace it or give a refund. I want to know my rights in this situation.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
"I bought a ceiling fan for Rs. 4,500 and it stopped working within a week, but the shop is refusing to replace it or give a refund. I have all the receipts and messages saved.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
"I paid Rs. 5,20,000 for a ceiling fan and it has a manufacturing fault, but the store manager says 'no refund after purchase'.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
Someone stole my television from my house in Jaipur while I was away. I have a few messages as proof but nothing else.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
"I paid Rs. 7,750 as advance to buy a plot of land in Surat, but the seller is now refusing to register the sale deed. My family is asking me to just let it go, but I don't want to.","Transfer of Property Act, 1882",Section 54,"Send a legal notice invoking the sale agreement and demanding execution and registration of the sale deed, or a refund with compensation, and consider filing a suit for specific performance or damages.","A transfer of immovable property for a price is a 'sale' under the Act, and where a seller has accepted consideration under an agreement to sell, they are generally bound to complete the transfer as agreed, subject to the terms of that agreement.",Property,"A valid sale agreement (preferably written and registered/stamped as required), proof of payment, and the specific default by the seller are needed to pursue a remedy.","This concerns the Transfer of Property Act, 1882 (Section 54), which governs transfer of immovable property for a price. You can send a legal notice demanding execution of the sale deed or refund with compensation, and may need to file a suit for specific performance. Keep the sale agreement and payment receipts safe."
"My landlord in Kolkata is refusing to return my Rs. 1,10,000 security deposit even though I vacated the flat last year in proper condition.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"I bought a television for Rs. 60,000 and it stopped working within a week, but the shop is refusing to replace it or give a refund. My family is asking me to just let it go, but I don't want to.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
"A person promised to invest my Rs. 45,000 in a scheme and give high returns, but disappeared with the money. I want to know my rights in this situation.","Bharatiya Nyaya Sanhita, 2023",Section 318,"File an FIR at the local police station or the economic offences wing, and preserve all evidence of the promises made and payments transferred (messages, receipts, bank transfers).","Deceiving a person and thereby dishonestly inducing them to deliver property or money, causing them loss, constitutes the offence of cheating.",Criminal,"Evidence of the representations made, proof of payment, and the fact that the promise was never honoured are needed to establish cheating.","This appears to be cheating under the Bharatiya Nyaya Sanhita, 2023 (Section 318). File an FIR with the local police or the economic offences wing, and preserve all messages, receipts, and bank transfer records as evidence of the false promise and resulting loss."
My neighbour in Hyderabad keeps entering my property without permission and refuses to stop despite repeated warnings.,"Bharatiya Nyaya Sanhita, 2023",Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text),"Send a written warning asserting your ownership/possession and demanding that the person cease entering the property, and if this continues, file a police complaint and consider a civil suit for injunction and possession.","Unauthorised entry onto another person's property with intent to commit an offence, or to intimidate, insult or annoy, is treated as an offence against property, in addition to any civil remedies available to the rightful owner or possessor for protecting their possession.",Property,"Proof of ownership or lawful possession (title deed, tax receipts, possession records), and evidence of the unauthorised entry (witnesses, photos, prior complaints) are needed; the exact clause under the new criminal code should be confirmed against the Act text.","This may involve Bharatiya Nyaya Sanhita, 2023 (Chapter XVII provisions on criminal trespass (exact clause to be confirmed against the Act text)) for the criminal aspect, along with a civil remedy for protecting your possession. You can file a police complaint and also consult a lawyer about a civil suit for injunction. Keep your ownership documents and any evidence of the trespass ready."
"I bought a bicycle for Rs. 850 and it stopped working within a week, but the shop is refusing to replace it or give a refund.","Consumer Protection Act, 2019",Section 2(10) read with Section 35; Section 2(6) and Section 35,"File a written complaint with the seller first, and if unresolved, approach the appropriate Consumer Commission (District, State, or National, depending on the value of the claim) for a refund, replacement, or compensation.","The product is a 'defect' as understood under the Act's definitions, and a person who buys goods for consideration and suffers from such a defect can lodge a consumer complaint seeking an appropriate remedy.",Consumer,"The buyer must qualify as a 'consumer' under the Act (goods bought for consideration, not for resale), the defect must be established, and the complaint should ideally be filed within the limitation period, generally two years from when the cause of action arose.","This is a consumer protection matter under the Consumer Protection Act, 2019 (Section 2(10) read with Section 35). Since the product has a defect, you can first send a written complaint to the seller/manufacturer, and if not resolved, file a case before the Consumer Commission for a refund, replacement, or compensation. Keep your purchase receipt, warranty card, and any correspondence as evidence."
Someone stole my kitchen chimney from my house in Nagpur while I was away. This happened for the first time recently.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
"My landlord in Chennai is refusing to return my Rs. 33,500 security deposit even though I vacated the flat a few days ago in proper condition. I live alone and don't have much support right now.",Applicable law cannot be determined from the facts provided,Not applicable until further facts are known,"Review the rental agreement for the deposit clause, send a written request asking for an itemised explanation of any deductions, and if unresolved, pursue the matter before the Rent Authority or Consumer/Civil Court as applicable under the relevant state tenancy law.","The obligation to return a security deposit, and the conditions under which deductions are permitted, depend primarily on the terms of the rental agreement and the tenancy law applicable in the specific state, since India does not have a single uniform central law governing all rental security deposits.",Property,"The rental agreement terms, the state in which the property is located (since tenancy law is largely state-specific, e.g. Model Tenancy Act adoption varies by state), the condition of the property at vacation, and the landlord's stated reasons for deduction are all needed.","The exact law depends on your state's tenancy regulations and the terms of your rental agreement, so this needs more information before a specific section can be cited. In the meantime, send the landlord a written request for an itemised list of deductions, and keep photos/videos from move-out as evidence. Please share your state and the agreement terms so the applicable law can be identified."
"I paid Rs. 25,000 as advance to buy a plot of land in Chennai, but the seller is now refusing to register the sale deed. This happened for the first time recently.","Transfer of Property Act, 1882",Section 54,"Send a legal notice invoking the sale agreement and demanding execution and registration of the sale deed, or a refund with compensation, and consider filing a suit for specific performance or damages.","A transfer of immovable property for a price is a 'sale' under the Act, and where a seller has accepted consideration under an agreement to sell, they are generally bound to complete the transfer as agreed, subject to the terms of that agreement.",Property,"A valid sale agreement (preferably written and registered/stamped as required), proof of payment, and the specific default by the seller are needed to pursue a remedy.","This concerns the Transfer of Property Act, 1882 (Section 54), which governs transfer of immovable property for a price. You can send a legal notice demanding execution of the sale deed or refund with compensation, and may need to file a suit for specific performance. Keep the sale agreement and payment receipts safe."
Someone stole my pressure cooker from my house in Kolkata while I was away. I have all the receipts and messages saved.,"Bharatiya Nyaya Sanhita, 2023",Section 303,"File a First Information Report (FIR) at the nearest police station immediately, providing details and any evidence such as CCTV footage or witnesses.","Dishonestly taking movable property out of a person's possession without their consent, with the intention of permanently depriving them of it, constitutes theft.",Criminal,"Details of the stolen items, their approximate value, the time and place of theft, and any available evidence (CCTV, witnesses) should be provided to police.","This is theft under the Bharatiya Nyaya Sanhita, 2023 (Section 303). File an FIR at your nearest police station as soon as possible, providing all details of the stolen items and any available evidence like CCTV footage or witnesses."
"The pest control service I hired a few days ago caused more problems than it solved, and I have not received any compensation.","Consumer Protection Act, 2019",Section 2(11) read with Section 35; Section 2(6) and Section 35,"Send a written notice to the service provider describing the deficiency and asking for rectification, refund, or compensation, and if unresolved, file a complaint before the Consumer Commission.","A shortfall in the quality or manner of performance of a paid service falls within the Act's concept of deficiency, and a consumer who suffers such deficiency can seek redressal through the consumer complaint mechanism.",Consumer,"You must have paid for the service (not received it free), the shortfall in performance must be demonstrable, and supporting documents such as invoices, messages, or photographs strengthen the complaint.","This falls under the Consumer Protection Act, 2019 (Section 2(11) read with Section 35), which covers deficiency in service. You can send a written notice demanding rectification or refund, and escalate to the Consumer Commission if the provider does not respond. Retain your payment proof and all communication as evidence."
